Japanisch;Deutsch
わかります;verstehen, begreifen
あります;haben, besitzen

すき「な」;mögen
きらい「な」;hassen (nicht mögen)
じょうず「な」;geschickt
へた「な」;ungeschickt

のみもの;Getränke
りょうり;Essen, Gericht, Kochen
スポーツ;Sport
やきゅう;Baseball
ダンス;Tanz
りょこう;Reise
おんがく;Musik
うた;Lied
クラシック;klassische Musik
ジャズ;Jazz
コンサート;Konzert
カラオケ;Karaoke
かぶき;Kabuki

え;Gemälde, Bild
じ;Zeichen
かんじ;Kanji
ひらがな;Hiragana
かたかな;Katagana
ローマジ;lateinische Schrift

こまかい　おかね;Kleingeld
チケット;Eintrittskarte

じかん;(Uhr-) Zeit
ようじ;etw., das man zu erledigen hat, Angelegenheit
やくそく;Versprechen, Verabredung
アルバイト;Nebenjob

ごしゅじん;Ehemann (einer anderen Person)
おっと／しゅじん;(mein) Ehemann
おくさん;Ehefrau (einer anderen Person)
つま／かない;(meine) Ehefrau
こども;Kind

よく;gut (Adverb)
だいたい;größtenteils, ungefähr, meistens
たくさん;viel/-e
すこし;ein bisschen, ein wenig
ぜんぜん;überhaupt nicht
はやく;früh, schnell

から;weil ~
~どうして;warum

かして　ください;Bitte geben Sie es mir kurz
いいですよ。;Selbstverständlich./Kein Problem
ざんねんです「が」;Es ist schade, aber

ああ;Ah Ja! (man hat verstanden, wer anruft)
いっじょに　いかがですか。;Wollen Sie nicht mit mir kommen?
「~は」　ちょっと・・・。;[~] ist etwas ungünstig.
だめですか。;Es geht also nicht?
また　こんど　おねがいします。;Fragen Sie mich bitte ein anderes Mal.
