Japanisch;Deutsch;Kanji
います「こどもが~」;[ein Kind] haben;
います「にほんに~」;[in Japan] sein, bleiben;
かかります;kosten, dauern (in Bezug auf Zeit und Geld);
やすみます「かいしゃを~」;sich freinehmen, fehlen [in der Firma];

ひとつ;ein/-e (zum Zählen von Gegendständen), eins;
ふたつ;zwei (zum Zählen von Gegendständen);
みっつ;drei (zum Zählen von Gegendständen);
よっつ;vier (zum Zählen von Gegendständen);
いつつ;fünf (zum Zählen von Gegendständen);
むっつ;sechs (zum Zählen von Gegendständen);
ななつ;sieben (zum Zählen von Gegendständen);
やっつ;acht (zum Zählen von Gegendständen);
ここのつ;neun (zum Zählen von Gegendständen);
とお;zehn (zum Zählen von Gegendständen);
いくつ;wie viel/-e;

ひとり;eine Person;
ふたり;zwei Personen;
~にん;~ Personen;

~だい;Zähleinheitssuffix für Maschinen, Autos etc.;
~まい;Zähleinheitssuffix für dünne, flache Gegenstände (z.B. Blätter, Briefmarken etc.);
~かい;~ Mal;

りんご;Apfel;
みかん;Mandarine;
サンドイッチ;Sandwich;
カレー「ライス」;Curry[-reis];
アイスクリーム;Eiscreme;

きって;Briefmarke;
はがき;Postkarte;
ふうとう;Briefumschlag;

りょうしん;Eltern;
きょうだい;Geschwister;
あに;(mein) älterer Bruder;
おにいさん;älterer Bruder (einer anderen Person);
あね;(meine) ältere Schwester;
おねえさん;ältere Schwester (einer anderen Person);
おとうと;(mein) jüngerer Bruder;
おとうとさん;jüngerer Bruder (einer anderen Person);
いもうと;(meine) jüngere Schwester;
いもうとさん;jüngere Schwester (einer anderen Person);

がいこく;Ausland;

りゅうがくせい;ausländische/-r Studierende/-r, Austauschstudierende/-r;
クラス;Klasse;

じかん;~ Stunden;
しゅうかん;~ Wochen;
かげつ;~ Monate;
~ねん;~ Jahre;
~ぐらい;ungefähr ~;
どのくらい;wie lange;

ぜんぶん;insgesamt;
みんな;alle/-s;
~だけ;nur ~;

かしこまりました;Jawohl! / Kommt sofort!;

いい「お」てんきですね。;Schönes Wetter, nicht wahr?;
おでかけですか。;Gehen Sie aus? (Begrüßung, wenn man jmd. Aus der Nachbarschaft trifft);お出かけですか。
ちょっと ~ まで。;Ich gehe nur mal eben ~, kurz zu ~, Ich bin auf dem Weg zu ~;
いってらっしゃい;Tschüss!, Bis später!, Bis dann! (Verabschiedung, wenn jmd. Das Haus verlässt);行ってらっしゃい。
いってきます。;Tschüss!, Bis später!, Bis dann! (Verabschiedung, wenn man selbst das Haus verlässt);行ってきます。
ふなびん;Seepost;船便
こうくうびん「エアメール」;Luftpost;航空便
おねがいします。;Bitte.;お願いします。
